#separator:tab
#html:true
#columns:Front	Back	Tags
music	/ˈmjuːzɪk/　<b>n.</b>　音乐<br>Listen to music. 听音乐。	名词_抽象与其他
movie	/ˈmuːvi/　<b>n.</b>　电影<br>Watch a movie. 看电影。	名词_抽象与其他
sport	/spɔːt/　<b>n.</b>　运动<br>My favorite sport. 我最爱的运动。	名词_抽象与其他
number	/ˈnʌmbə/　<b>n.</b>　号码<br>Room number. 房间号。	名词_抽象与其他
big	/bɪɡ/　<b>adj.</b>　大的<br>A big house. 一栋大房子。	形容词
small	/smɔːl/　<b>adj.</b>　小的<br>A small bug. 一个小 bug。	形容词
large	/lɑːdʒ/　<b>adj.</b>　大的，大量的<br>A large team. 一个大团队。	形容词
little	/ˈlɪtl/　<b>adj.</b>　小的；少的<br>A little time. 一点时间。	形容词
long	/lɒŋ/　<b>adj.</b>　长的<br>A long day. 漫长的一天。	形容词
short	/ʃɔːt/　<b>adj.</b>　短的，矮的<br>A short break. 短暂休息。	形容词
high	/haɪ/　<b>adj.</b>　高的<br>High quality. 高质量。	形容词
low	/ləʊ/　<b>adj.</b>　低的<br>Low price. 低价。	形容词
tall	/tɔːl/　<b>adj.</b>　高的（人/物）<br>A tall man. 一个高个子。	形容词
wide	/waɪd/　<b>adj.</b>　宽的<br>A wide road. 一条宽路。	形容词
full	/fʊl/　<b>adj.</b>　满的<br>The cup is full. 杯子满了。	形容词
empty	/ˈempti/　<b>adj.</b>　空的<br>An empty box. 空盒子。	形容词
heavy	/ˈhevi/　<b>adj.</b>　重的<br>A heavy bag. 重包。	形容词
light	/laɪt/　<b>adj.</b>　轻的；浅的<br>A light meal. 便餐。	形容词
many	/ˈmeni/　<b>adj.</b>　许多<br>Many people. 很多人。	形容词
much	/mʌtʃ/　<b>adj.</b>　许多（不可数）<br>Too much work. 太多工作。	形容词
more	/mɔː/　<b>adj.</b>　更多的<br>More time. 更多时间。	形容词
most	/məʊst/　<b>adj.</b>　最多的<br>Most people. 大多数人。	形容词
few	/fjuː/　<b>adj.</b>　很少<br>A few days. 几天。	形容词
enough	/ɪˈnʌf/　<b>adj.</b>　足够的<br>Enough money. 足够的钱。	形容词
good	/ɡʊd/　<b>adj.</b>　好的<br>A good idea. 好主意。	形容词
bad	/bæd/　<b>adj.</b>　坏的<br>Bad news. 坏消息。	形容词
great	/ɡreɪt/　<b>adj.</b>　很棒的<br>That's great! 太好了！	形容词
nice	/naɪs/　<b>adj.</b>　好的，友善的<br>A nice person. 好人。	形容词
fine	/faɪn/　<b>adj.</b>　好的，还行<br>I'm fine. 我很好。	形容词
best	/best/　<b>adj.</b>　最好的<br>The best choice. 最佳选择。	形容词
better	/ˈbetə/　<b>adj.</b>　更好的<br>Much better. 好多了。	形容词
happy	/ˈhæpi/　<b>adj.</b>　快乐的<br>I'm happy. 我很开心。	形容词
sad	/sæd/　<b>adj.</b>　伤心的<br>Don't be sad. 别难过。	形容词
angry	/ˈæŋɡri/　<b>adj.</b>　生气的<br>He's angry. 他生气了。	形容词
tired	/ˈtaɪəd/　<b>adj.</b>　累的<br>I'm tired. 我累了。	形容词
busy	/ˈbɪzi/　<b>adj.</b>　忙的<br>I'm busy. 我很忙。	形容词
free	/friː/　<b>adj.</b>　空闲的；免费的<br>Are you free? 你有空吗？	形容词
ready	/ˈredi/　<b>adj.</b>　准备好的<br>I'm ready. 我准备好了。	形容词
sure	/ʃʊə/　<b>adj.</b>　确定的<br>Are you sure? 你确定吗？	形容词
glad	/ɡlæd/　<b>adj.</b>　高兴的<br>I'm glad. 我很高兴。	形容词
afraid	/əˈfreɪd/　<b>adj.</b>　害怕的<br>I'm afraid so. 恐怕是的。	形容词
worried	/ˈwʌrid/　<b>adj.</b>　担心的<br>Don't be worried. 别担心。	形容词
interested	/ˈɪntrəstɪd/　<b>adj.</b>　感兴趣的<br>I'm interested. 我有兴趣。	形容词
surprised	/səˈpraɪzd/　<b>adj.</b>　惊讶的<br>I'm surprised. 我很惊讶。	形容词
new	/njuː/　<b>adj.</b>　新的<br>A new phone. 新手机。	形容词
old	/əʊld/　<b>adj.</b>　旧的，老的<br>An old friend. 老朋友。	形容词
young	/jʌŋ/　<b>adj.</b>　年轻的<br>A young team. 年轻的团队。	形容词
easy	/ˈiːzi/　<b>adj.</b>　容易的<br>An easy task. 简单任务。	形容词
hard	/hɑːd/　<b>adj.</b>　难的，硬的<br>A hard problem. 难题。	形容词
difficult	/ˈdɪfɪkəlt/　<b>adj.</b>　困难的<br>A difficult choice. 艰难选择。	形容词
simple	/ˈsɪmpl/　<b>adj.</b>　简单的<br>A simple idea. 简单的想法。	形容词
important	/ɪmˈpɔːtnt/　<b>adj.</b>　重要的<br>A key point. 重要的一点。	形容词
fast	/fɑːst/　<b>adj.</b>　快的<br>A fast car. 快车。	形容词
slow	/sləʊ/　<b>adj.</b>　慢的<br>A slow network. 慢网络。	形容词
quick	/kwɪk/　<b>adj.</b>　迅速的<br>A quick question. 一个小问题。	形容词
right	/raɪt/　<b>adj.</b>　对的；右边的<br>You're right. 你对了。	形容词
wrong	/rɒŋ/　<b>adj.</b>　错的<br>Something's wrong. 有点不对。	形容词
true	/truː/　<b>adj.</b>　真的<br>Is it true? 是真的吗？	形容词
real	/rɪəl/　<b>adj.</b>　真实的<br>Real life. 现实生活。	形容词
same	/seɪm/　<b>adj.</b>　相同的<br>The same idea. 同样的想法。	形容词
different	/ˈdɪfrənt/　<b>adj.</b>　不同的<br>A different way. 不同的方法。	形容词
clean	/kliːn/　<b>adj.</b>　干净的<br>A clean room. 干净的房间。	形容词
dirty	/ˈdɜːti/　<b>adj.</b>　脏的<br>Dirty hands. 脏手。	形容词
hot	/hɒt/　<b>adj.</b>　热的<br>Hot water. 热水。	形容词
cold	/kəʊld/　<b>adj.</b>　冷的<br>Cold weather. 冷天气。	形容词
warm	/wɔːm/　<b>adj.</b>　温暖的<br>Warm clothes. 保暖衣物。	形容词
open	/ˈəʊpən/　<b>adj.</b>　开着的<br>The shop is open. 店开着。	形容词
closed	/kləʊzd/　<b>adj.</b>　关着的<br>The door is closed. 门关着。	形容词
beautiful	/ˈbjuːtɪfl/　<b>adj.</b>　美丽的<br>A beautiful view. 美景。	形容词
nice	/naɪs/　<b>adj.</b>　好看的<br>A nice design. 漂亮的设计。	形容词
popular	/ˈpɒpjələ/　<b>adj.</b>　流行的<br>A popular app. 热门应用。	形容词
famous	/ˈfeɪməs/　<b>adj.</b>　著名的<br>A famous person. 名人。	形容词
safe	/seɪf/　<b>adj.</b>　安全的<br>Stay safe. 注意安全。	形容词
dangerous	/ˈdeɪndʒərəs/　<b>adj.</b>　危险的<br>It's dangerous. 很危险。	形容词
strong	/strɒŋ/　<b>adj.</b>　强的<br>A strong password. 强密码。	形容词
weak	/wiːk/　<b>adj.</b>　弱的<br>A weak signal. 信号弱。	形容词
cheap	/tʃiːp/　<b>adj.</b>　便宜的<br>A cheap phone. 便宜手机。	形容词
expensive	/ɪkˈspensɪv/　<b>adj.</b>　贵的<br>Too expensive. 太贵了。	形容词
next	/nekst/　<b>adj.</b>　下一个<br>Next time. 下次。	形容词
last	/lɑːst/　<b>adj.</b>　最后的<br>The last one. 最后一个。	形容词
whole	/həʊl/　<b>adj.</b>　整个的<br>The whole day. 一整天。	形容词
own	/əʊn/　<b>adj.</b>　自己的<br>My own room. 我自己的房间。	形容词
possible	/ˈpɒsəbl/　<b>adj.</b>　可能的<br>Is it possible? 有可能吗？	形容词
clear	/klɪə/　<b>adj.</b>　清楚的<br>Is that clear? 清楚了吗？	形容词
useful	/ˈjuːsfl/　<b>adj.</b>　有用的<br>Very useful. 很有用。	形容词
available	/əˈveɪləbl/　<b>adj.</b>　可用的<br>Is it available? 有货吗/可用吗？	形容词
very	/ˈveri/　<b>adv.</b>　非常<br>Very good. 非常好。	副词
really	/ˈrɪəli/　<b>adv.</b>　真的，确实<br>Really? 真的吗？	副词
too	/tuː/　<b>adv.</b>　太；也<br>Too slow. 太慢了。	副词
so	/səʊ/　<b>adv.</b>　如此，这么<br>So good! 太棒了！	副词
also	/ˈɔːlsəʊ/　<b>adv.</b>　也<br>I also agree. 我也同意。	副词
just	/dʒʌst/　<b>adv.</b>　只是；刚刚<br>Just a minute. 就一分钟。	副词
only	/ˈəʊnli/　<b>adv.</b>　仅仅<br>Only one. 只有一个。	副词
even	/ˈiːvn/　<b>adv.</b>　甚至<br>Even better. 甚至更好。	副词
still	/stɪl/　<b>adv.</b>　仍然<br>Still working. 还在运行。	副词
already	/ɔːlˈredi/　<b>adv.</b>　已经<br>Already done. 已经完成。	副词
yet	/jet/　<b>adv.</b>　还（没）<br>Not yet. 还没。	副词
again	/əˈɡen/　<b>adv.</b>　再一次<br>Try again. 再试一次。	副词
always	/ˈɔːlweɪz/　<b>adv.</b>　总是<br>I always do. 我一直这样。	副词
usually	/ˈjuːʒuəli/　<b>adv.</b>　通常<br>Usually fine. 通常没问题。	副词
often	/ˈɒfn/　<b>adv.</b>　经常<br>Often late. 经常迟到。	副词
sometimes	/ˈsʌmtaɪmz/　<b>adv.</b>　有时<br>Sometimes it fails. 有时会失败。	副词
never	/ˈnevə/　<b>adv.</b>　从不<br>Never mind. 没关系。	副词
here	/hɪə/　<b>adv.</b>　这里<br>Come here. 过来。	副词
there	/ðeə/　<b>adv.</b>　那里<br>Over there. 在那边。	副词
now	/naʊ/　<b>adv.</b>　现在<br>Do it now. 现在做。	副词
then	/ðen/　<b>adv.</b>　然后<br>And then? 然后呢？	副词
today	/təˈdeɪ/　<b>adv.</b>　今天<br>Not today. 今天不行。	副词
well	/wel/　<b>adv.</b>　好地<br>Well done. 干得好。	副词
fast	/fɑːst/　<b>adv.</b>　快地<br>Run fast. 跑得快。	副词
slowly	/ˈsləʊli/　<b>adv.</b>　慢地<br>Speak slowly. 说慢点。	副词
hard	/hɑːd/　<b>adv.</b>　努力地<br>Work hard. 努力工作。	副词
together	/təˈɡeðə/　<b>adv.</b>　一起<br>Work together. 一起工作。	副词
almost	/ˈɔːlməʊst/　<b>adv.</b>　几乎<br>Almost done. 快好了。	副词
maybe	/ˈmeɪbi/　<b>adv.</b>　也许<br>Maybe later. 也许待会。	副词
probably	/ˈprɒbəbli/　<b>adv.</b>　很可能<br>Probably yes. 很可能是的。	副词
perhaps	/pəˈhæps/　<b>adv.</b>　也许<br>Perhaps. 也许吧。	副词
quickly	/ˈkwɪkli/　<b>adv.</b>　快速地<br>Reply quickly. 快速回复。	副词
carefully	/ˈkeəfəli/　<b>adv.</b>　仔细地<br>Read carefully. 仔细读。	副词
more	/mɔː/　<b>adv.</b>　更<br>Say more. 多说些。	副词
less	/les/　<b>adv.</b>　更少<br>Less work. 更少的工作。	副词
enough	/ɪˈnʌf/　<b>adv.</b>　足够地<br>Good enough. 够好了。	副词
soon	/suːn/　<b>adv.</b>　不久<br>See you soon. 回头见。	副词
later	/ˈleɪtə/　<b>adv.</b>　稍后<br>Talk later. 待会聊。	副词
early	/ˈɜːli/　<b>adv.</b>　早<br>Come early. 早点来。	副词
ago	/əˈɡəʊ/　<b>adv.</b>　以前<br>Long ago. 很久以前。	副词
forward	/ˈfɔːwəd/　<b>adv.</b>　向前<br>Move forward. 向前进。	副词
away	/əˈweɪ/　<b>adv.</b>　离开<br>Go away. 走开。	副词
back	/bæk/　<b>adv.</b>　回<br>Come back. 回来。	副词
around	/əˈraʊnd/　<b>adv.</b>　周围；大约<br>Look around. 四处看看。	副词
instead	/ɪnˈsted/　<b>adv.</b>　代替<br>Use this instead. 用这个代替。	副词
however	/haʊˈevə/　<b>adv.</b>　然而<br>However, it works. 不过它能用。	副词
color	/ˈkʌlə/　<b>n.</b>　颜色<br>What color? 什么颜色？	颜色
red	/red/　<b>adj./n.</b>　红色<br>A red apple. 一个红苹果。	颜色
orange	/ˈɒrɪndʒ/　<b>adj./n.</b>　橙色<br>An orange shirt. 一件橙色衬衫。	颜色
yellow	/ˈjeləʊ/　<b>adj./n.</b>　黄色<br>Yellow flowers. 黄花。	颜色
green	/ɡriːn/　<b>adj./n.</b>　绿色<br>Green tea. 绿茶。	颜色
blue	/bluː/　<b>adj./n.</b>　蓝色<br>The blue sky. 蓝天。	颜色
white	/waɪt/　<b>adj./n.</b>　白色<br>A white wall. 白墙。	颜色
black	/blæk/　<b>adj./n.</b>　黑色<br>Black coffee. 黑咖啡。	颜色
gray	/ɡreɪ/　<b>adj./n.</b>　灰色<br>A gray cat. 一只灰猫。	颜色
brown	/braʊn/　<b>adj./n.</b>　棕色<br>Brown bread. 全麦面包。	颜色
pink	/pɪŋk/　<b>adj./n.</b>　粉色<br>A pink flower. 一朵粉花。	颜色
purple	/ˈpɜːpl/　<b>adj./n.</b>　紫色<br>A purple bag. 一个紫包。	颜色
thank you	谢谢<br>Thank you very much. 非常感谢。	常用短语与词块
you're welcome	不客气<br>— You're welcome. 不客气。	常用短语与词块
excuse me	打扰一下<br>Excuse me, where is…? 请问…在哪？	常用短语与词块
I'm sorry	对不起<br>I'm sorry, I'm late. 抱歉，我迟到了。	常用短语与词块
no problem	没问题<br>Sure, no problem. 当然，没问题。	常用短语与词块
of course	当然<br>Of course you can. 你当然可以。	常用短语与词块
a little	一点<br>A little tired. 有点累。	常用短语与词块
a lot of	很多<br>A lot of work. 很多工作。	常用短语与词块
a few	几个<br>A few minutes. 几分钟。	常用短语与词块
kind of	有点<br>Kind of hard. 有点难。	常用短语与词块
for example	例如<br>For example, this. 比如这个。	常用短语与词块
in fact	事实上<br>In fact, it works. 事实上它能用。	常用短语与词块
by the way	顺便说<br>By the way, thanks. 顺便说谢谢。	常用短语与词块
at least	至少<br>At least try. 至少试试。	常用短语与词块
at first	起初<br>At first it failed. 起初它失败了。	常用短语与词块
right now	现在<br>I need it right now. 我现在就要。	常用短语与词块
all right	好的<br>All right, let's go. 好，走吧。	常用短语与词块
I think so	我想是的<br>— I think so. 我想是的。	常用短语与词块
I don't know	我不知道<br>I don't know yet. 我还不知道。	常用短语与词块
I'm not sure	我不确定<br>I'm not sure. 我不确定。	常用短语与词块
let me see	让我看看<br>Let me see. 我看看。	常用短语与词块
let me know	告诉我<br>Let me know. 告诉我一声。	常用短语与词块
hold on	等一下<br>Hold on a second. 稍等一下。	常用短语与词块
never mind	没关系<br>Never mind. 算了。	常用短语与词块
take care	保重<br>Take care! 保重！	常用短语与词块
see you	再见<br>See you later. 待会见。	常用短语与词块
good luck	祝你好运<br>Good luck! 祝好运！	常用短语与词块
how about…?	…怎么样？<br>How about tomorrow? 明天怎么样？	常用短语与词块
what about…?	…呢？<br>What about you? 你呢？	常用短语与词块
would you like…?	你想要…吗？<br>Would you like tea? 要喝茶吗？	常用短语与词块
can you help me?	你能帮我吗？<br>Can you help me? 你能帮我吗？	常用短语与词块
I'd like to…	我想…<br>I'd like to learn. 我想学。	常用短语与词块
looking forward to…	期待…<br>Looking forward to it. 很期待。	常用短语与词块
make sure	确保<br>Make sure to save. 记得保存。	常用短语与词块
more or less	差不多<br>More or less. 差不多。	常用短语与词块
so far	到目前为止<br>So far so good. 目前为止都好。	常用短语与词块
as soon as possible	尽快<br>ASAP. 尽快。	常用短语与词块
on time	准时<br>Be on time. 准时。	常用短语与词块
in time	及时<br>Just in time. 正好赶上。	常用短语与词块
all day	一整天<br>I worked all day. 我工作了一整天。	常用短语与词块
act	/ækt/　<b>v.</b>　行动<br>Act now. 立刻行动。	补充高频词
apply	/əˈplaɪ/　<b>v.</b>　申请；应用<br>Apply for a job. 申请工作。	补充高频词
avoid	/əˈvɔɪd/　<b>v.</b>　避免<br>Avoid mistakes. 避免错误。	补充高频词
break	/breɪk/　<b>v.</b>　打破（broke, broken）<br>Don't break it. 别弄坏。	补充高频词
catch	/kætʃ/　<b>v.</b>　抓住（caught）<br>Catch the bus. 赶公交。	补充高频词
cause	/kɔːz/　<b>v.</b>　引起<br>It caused a bug. 它引发了 bug。	补充高频词
compare	/kəmˈpeə/　<b>v.</b>　比较<br>Compare the two. 比较两者。	补充高频词
contain	/kənˈteɪn/　<b>v.</b>　包含<br>It contains data. 它含有数据。	补充高频词
control	/kənˈtrəʊl/　<b>v.</b>　控制<br>Control the flow. 控制流程。	补充高频词
count	/kaʊnt/　<b>v.</b>　数<br>Count them. 数一数。	补充高频词
cover	/ˈkʌvə/　<b>v.</b>　覆盖<br>Cover the cost. 覆盖成本。	补充高频词
draw	/drɔː/　<b>v.</b>　画（drew, drawn）<br>Draw a line. 画条线。	补充高频词
drop	/drɒp/　<b>v.</b>　掉落<br>Don't drop it. 别掉了。	补充高频词
expect	/ɪkˈspekt/　<b>v.</b>　期待<br>As expected. 不出所料。	补充高频词
fill	/fɪl/　<b>v.</b>　填<br>Fill the form. 填表。	补充高频词
grow	/ɡrəʊ/　<b>v.</b>　生长（grew, grown）<br>It grows fast. 它长得快。	补充高频词
handle	/ˈhændl/　<b>v.</b>　处理<br>Handle the error. 处理错误。	补充高频词
increase	/ɪnˈkriːs/　<b>v.</b>　增加<br>Increase speed. 提高速度。	补充高频词
introduce	/ˌɪntrəˈdjuːs/　<b>v.</b>　介绍<br>Introduce yourself. 自我介绍。	补充高频词
involve	/ɪnˈvɒlv/　<b>v.</b>　涉及<br>It involves risk. 有风险。	补充高频词
lead	/liːd/　<b>v.</b>　领导（led）<br>Lead the team. 带领团队。	补充高频词
matter	/ˈmætə/　<b>v.</b>　要紧<br>It doesn't matter. 没关系。	补充高频词
offer	/ˈɒfə/　<b>v.</b>　提供<br>Offer help. 提供帮助。	补充高频词
pick	/pɪk/　<b>v.</b>　挑选<br>Pick one. 选一个。	补充高频词
pass	/pɑːs/　<b>v.</b>　通过<br>Pass the test. 通过测试。	补充高频词
produce	/prəˈdjuːs/　<b>v.</b>　生产<br>Produce results. 产出结果。	补充高频词
pull	/pʊl/　<b>v.</b>　拉<br>Pull the branch. 拉取分支。	补充高频词
push	/pʊʃ/　<b>v.</b>　推<br>Push the code. 推送代码。	补充高频词
raise	/reɪz/　<b>v.</b>　提高，举起<br>Raise a question. 提个问题。	补充高频词
reach	/riːtʃ/　<b>v.</b>　到达<br>Reach the goal. 达成目标。	补充高频词
receive	/rɪˈsiːv/　<b>v.</b>　收到<br>Receive an email. 收到邮件。	补充高频词
reduce	/rɪˈdjuːs/　<b>v.</b>　减少<br>Reduce the cost. 降低成本。	补充高频词
refer	/rɪˈfɜː/　<b>v.</b>　参考<br>Refer to the doc. 参考文档。	补充高频词
remain	/rɪˈmeɪn/　<b>v.</b>　保持<br>It remains open. 它仍开着。	补充高频词
repeat	/rɪˈpiːt/　<b>v.</b>　重复<br>Please repeat. 请再说一遍。	补充高频词
replace	/rɪˈpleɪs/　<b>v.</b>　替换<br>Replace the file. 替换文件。	补充高频词
serve	/sɜːv/　<b>v.</b>　服务<br>Serve customers. 服务顾客。	补充高频词
set up	/set ʌp/　<b>v.</b>　搭建<br>Set up the server. 搭建服务器。	补充高频词
spend	/spend/　<b>v.</b>　花费（spent）<br>Spend time. 花时间。	补充高频词
stand	/stænd/　<b>v.</b>　忍受<br>I can't stand it. 我受不了。	补充高频词
suppose	/səˈpəʊz/　<b>v.</b>　假设<br>I suppose so. 我想是的。	补充高频词
throw	/θrəʊ/　<b>v.</b>　扔（threw, thrown）<br>Throw it away. 扔掉。	补充高频词
touch	/tʌtʃ/　<b>v.</b>　接触<br>Keep in touch. 保持联系。	补充高频词
wish	/wɪʃ/　<b>v.</b>　希望<br>I wish you luck. 祝你好运。	补充高频词
answer	/ˈɑːnsə/　<b>n.</b>　回答<br>Good answer. 好回答。	补充高频词
business	/ˈbɪznəs/　<b>n.</b>　生意，业务<br>On business. 出差。	补充高频词
case	/keɪs/　<b>n.</b>　情况；案例<br>In this case. 这种情况下。	补充高频词
class	/klɑːs/　<b>n.</b>　班级；类<br>An English class. 英语课。	补充高频词
course	/kɔːs/　<b>n.</b>　课程<br>An online course. 网课。	补充高频词
detail	/ˈdiːteɪl/　<b>n.</b>　细节<br>In detail. 详细地。	补充高频词
effort	/ˈefət/　<b>n.</b>　努力<br>Great effort. 很努力。	补充高频词
end	/end/　<b>n.</b>　结尾<br>The end. 结束。	补充高频词
event	/ɪˈvent/　<b>n.</b>　事件<br>A big event. 大事件。	补充高频词
experience	/ɪkˈspɪəriəns/　<b>n.</b>　经验<br>Work experience. 工作经验。	补充高频词
goal	/ɡəʊl/　<b>n.</b>　目标<br>My goal. 我的目标。	补充高频词
hand	/hænd/　<b>n.</b>　帮手<br>Give me a hand. 帮我一把。	补充高频词
history	/ˈhɪstri/　<b>n.</b>　历史<br>A long history. 悠久历史。	补充高频词
interest	/ˈɪntrəst/　<b>n.</b>　兴趣<br>My interest. 我的兴趣。	补充高频词
line	/laɪn/　<b>n.</b>　线；行<br>The first line. 第一行。	补充高频词
list	/lɪst/　<b>n.</b>　列表<br>A to-do list. 待办清单。	补充高频词
mind	/maɪnd/　<b>n.</b>　头脑<br>In my mind. 在我脑中。	补充高频词
moment	/ˈməʊmənt/　<b>n.</b>　片刻<br>One moment. 稍等。	补充高频词
order	/ˈɔːdə/　<b>n.</b>　订单；顺序<br>Place an order. 下单。	补充高频词
power	/ˈpaʊə/　<b>n.</b>　力量，电力<br>Power off. 断电。	补充高频词
process	/ˈprəʊses/　<b>n.</b>　过程<br>The whole process. 整个过程。	补充高频词
question	/ˈkwestʃən/　<b>n.</b>　疑问<br>A quick question. 一个小问题。	补充高频词
rest	/rest/　<b>n.</b>　休息；其余<br>Take a rest. 休息一下。	补充高频词
room	/ruːm/　<b>n.</b>　空间<br>Room to grow. 成长空间。	补充高频词
side	/saɪd/　<b>n.</b>　边，方面<br>On the other side. 在另一边。	补充高频词
space	/speɪs/　<b>n.</b>　空间<br>Free space. 空闲空间。	补充高频词
step	/step/　<b>n.</b>　步骤<br>Step by step. 一步一步。	补充高频词
subject	/ˈsʌbdʒɪkt/　<b>n.</b>　主题<br>The email subject. 邮件主题。	补充高频词
success	/səkˈses/　<b>n.</b>　成功<br>A big success. 巨大成功。	补充高频词
value	/ˈvæljuː/　<b>n.</b>　价值<br>Good value. 物有所值。	补充高频词
view	/vjuː/　<b>n.</b>　视野，观点<br>In my view. 在我看来。	补充高频词
voice	/vɔɪs/　<b>n.</b>　声音<br>A soft voice. 温柔的声音。	补充高频词
word	/wɜːd/　<b>n.</b>　话<br>In other words. 换句话说。	补充高频词
able	/ˈeɪbl/　<b>adj.</b>　能够的<br>I'm able to help. 我能帮忙。	补充高频词
certain	/ˈsɜːtn/　<b>adj.</b>　确定的<br>A certain day. 某一天。	补充高频词
common	/ˈkɒmən/　<b>adj.</b>　常见的<br>A common word. 常用词。	补充高频词
complete	/kəmˈpliːt/　<b>adj.</b>　完整的<br>A complete list. 完整清单。	补充高频词
correct	/kəˈrekt/　<b>adj.</b>　正确的<br>The correct answer. 正确答案。	补充高频词
current	/ˈkʌrənt/　<b>adj.</b>　当前的<br>The current version. 当前版本。	补充高频词
dark	/dɑːk/　<b>adj.</b>　黑暗的<br>A dark room. 暗房间。	补充高频词
dear	/dɪə/　<b>adj.</b>　亲爱的<br>Dear friend. 亲爱的朋友。	补充高频词
deep	/diːp/　<b>adj.</b>　深的<br>A deep problem. 深层问题。	补充高频词
dry	/draɪ/　<b>adj.</b>　干的<br>Dry clothes. 干衣服。	补充高频词
final	/ˈfaɪnl/　<b>adj.</b>　最终的<br>The final result. 最终结果。	补充高频词
fresh	/freʃ/　<b>adj.</b>　新鲜的<br>Fresh air. 新鲜空气。	补充高频词
friendly	/ˈfrendli/　<b>adj.</b>　友好的<br>A friendly team. 友好的团队。	补充高频词
general	/ˈdʒenrəl/　<b>adj.</b>　一般的<br>In general. 一般来说。	补充高频词
local	/ˈləʊkl/　<b>adj.</b>　本地的<br>The local server. 本地服务器。	补充高频词
main	/meɪn/　<b>adj.</b>　主要的<br>The main point. 要点。	补充高频词
modern	/ˈmɒdn/　<b>adj.</b>　现代的<br>A modern app. 现代应用。	补充高频词
natural	/ˈnætʃrəl/　<b>adj.</b>　自然的<br>Natural light. 自然光。	补充高频词
normal	/ˈnɔːml/　<b>adj.</b>　正常的<br>It's normal. 这很正常。	补充高频词
perfect	/ˈpɜːfɪkt/　<b>adj.</b>　完美的<br>It's perfect. 完美。	补充高频词
poor	/pɔː/　<b>adj.</b>　差的，贫穷的<br>Poor quality. 质量差。	补充高频词
public	/ˈpʌblɪk/　<b>adj.</b>　公共的<br>A public place. 公共场所。	补充高频词
quiet	/ˈkwaɪət/　<b>adj.</b>　安静的<br>Be quiet. 安静点。	补充高频词
rich	/rɪtʃ/　<b>adj.</b>　富有的<br>A rich country. 富裕的国家。	补充高频词
serious	/ˈsɪəriəs/　<b>adj.</b>　严肃的，严重的<br>A serious bug. 严重的 bug。	补充高频词
single	/ˈsɪŋɡl/　<b>adj.</b>　单一的<br>A single click. 单击。	补充高频词
special	/ˈspeʃl/　<b>adj.</b>　特别的<br>A special day. 特别的一天。	补充高频词
stupid	/ˈstjuːpɪd/　<b>adj.</b>　愚蠢的<br>A stupid mistake. 愚蠢的错误。	补充高频词
terrible	/ˈterəbl/　<b>adj.</b>　糟糕的<br>Terrible weather. 糟糕的天气。	补充高频词
wet	/wet/　<b>adj.</b>　湿的<br>Wet floor. 地板湿滑。	补充高频词
wonderful	/ˈwʌndəfl/　<b>adj.</b>　极好的<br>A wonderful idea. 一个好主意。	补充高频词
finally	/ˈfaɪnəli/　<b>adv.</b>　最终<br>Finally done! 终于完成了！	补充高频词
exactly	/ɪɡˈzæktli/　<b>adv.</b>　确切地<br>Exactly! 完全正确！	补充高频词
clearly	/ˈklɪəli/　<b>adv.</b>　清楚地<br>Speak clearly. 说清楚。	补充高频词
especially	/ɪˈspeʃəli/　<b>adv.</b>　尤其<br>Especially now. 尤其是现在。	补充高频词
directly	/dɪˈrektli/　<b>adv.</b>　直接地<br>Contact me directly. 直接联系我。	补充高频词
certainly	/ˈsɜːtnli/　<b>adv.</b>　当然<br>Certainly! 当然！	补充高频词
each	/iːtʃ/　<b>det.</b>　每个<br>Each one. 每一个。	补充高频词
both	/bəʊθ/　<b>det.</b>　两者都<br>Both of them. 他们俩。	补充高频词
such	/sʌtʃ/　<b>det.</b>　这样的<br>Such a nice day. 多好的一天。	补充高频词
another	/əˈnʌðə/　<b>det.</b>　另一个<br>Another one. 另一个。	补充高频词
something	/ˈsʌmθɪŋ/　<b>pron.</b>　某事<br>Something new. 新东西。	补充高频词
anything	/ˈeniθɪŋ/　<b>pron.</b>　任何事<br>Anything else? 还要别的吗？	补充高频词
nothing	/ˈnʌθɪŋ/　<b>pron.</b>　什么都没有<br>Nothing works. 都不好使。	补充高频词
everything	/ˈevriθɪŋ/　<b>pron.</b>　一切<br>Everything is fine. 一切都好。	补充高频词
someone	/ˈsʌmwʌn/　<b>pron.</b>　某人<br>Someone called. 有人打电话。	补充高频词
anyone	/ˈeniwʌn/　<b>pron.</b>　任何人<br>Anyone here? 有人吗？	补充高频词
no one	/ˈnəʊ wʌn/　<b>pron.</b>　没有人<br>No one knows. 没人知道。	补充高频词
somewhere	/ˈsʌmweə/　<b>adv.</b>　某处<br>Somewhere else. 别的地方。	补充高频词
anywhere	/ˈeniweə/　<b>adv.</b>　任何地方<br>Anywhere is fine. 哪里都行。	补充高频词
everywhere	/ˈevriweə/　<b>adv.</b>　到处<br>Bugs everywhere. 到处是 bug。	补充高频词
yes	/jes/　<b>int.</b>　是的<br>Yes, please. 好的，谢谢。	补充高频词
no	/nəʊ/　<b>int.</b>　不<br>No, thanks. 不用，谢谢。	补充高频词
okay	/ˌəʊˈkeɪ/　<b>int.</b>　好的<br>Okay, got it. 好的，明白了。	补充高频词
hello	/həˈləʊ/　<b>int.</b>　你好<br>Hello there. 你好。	补充高频词
